Id|ko|en|jp
have_fish_evol_type|진화 물고기 {0} 종 수집하기|Collect {0} species of Evolution Fish|
stone_talk_0|고요한 느낌이야|It feels peaceful.|stone_talk_0
stone_talk_1|오늘 하루 잘 지냈어?|How've you been today?|stone_talk_1
stone_talk_2|안녕?|Hello!|stone_talk_2
stone_talk_3|오랜만인걸?|It's been a while!|stone_talk_3
stone_talk_4|슬퍼하지마|Don't be sad.|stone_talk_4
stone_talk_5|혼자가 아니야|You're not alone.|stone_talk_5
stone_talk_6|잘될거야|Everything will be alright.|stone_talk_6
stone_talk_7|이야호|Hooray.|stone_talk_7
stone_talk_8|모두 행복해질거야|Everyone will be happy.|stone_talk_8
stone_talk_9|설치없는 앱인토스!|No-install App-in-Toss!|stone_talk_9
stone_talk_10|숨어있는 곰치!|A Moray Eel is hiding!|
stone_talk_11|사랑해|I love you.|
stone_talk_12|고마워|Thank you.|
stone_talk_13|사진을 자주찍어줘*-_-*|Take lots of pictures of me!|
stone_talk_14|신비한 곳이야|This is a mysterious place.|
stone_talk_15|행복해|I'm happy.|
stone_talk_16|새로운 산호를 얻으면\n친구를 더 많이 만들 수 있어|You can make more friends\nif you unlock new coral|
stone_talk_17|산호석 탭에서는\n스킬을 강화할 수 있어|You can enhance skills\nin the Corallite tab.|
stone_talk_18|숨겨진 물고기들을 찾아봐!|Try to find the hidden fish!|
stone_talk_19|지금이 아니어도 괜찮아|It doesn't have to be now.|
stone_talk_20|VR로 봐봤어?|Have you tried out the VR mode?|
stone_talk_21|오늘도 고생했어!|Good job today!|
stone_talk_22|숨겨진 물고기들을 찾아봐!|Try to find the hidden fish!|
stone_talk_23|잘했어!|Well done!|
stone_talk_24|숨겨진 물고기들을 찾아봐!|Try to find the hidden fish!|
stone_talk_25|힘내|Cheer up.|
stone_talk_26|흰긴수염 고래가 보고싶어...|I miss Blue Whale...|
stone_talk_27|사진을 자주찍어줘*-_-*|Take lots of pictures of me!|
stone_talk_28|배고프다...|Hmm...I'm hungry...|
stone_talk_29|스킬을 쓰면 좀더 쉽게 할수있어|It's easier if you use your skills!|
stone_talk_30|ABYSSRIUM!|Abyssrium!|
stone_talk_31|어비스리움!|Abyssrium!|
stone_talk_32|선물이 도착했을까?|Is the present here?|
stone_talk_33|산호가 좋아|I like Corals.|
stone_talk_34|물고기가 좋아!|I like fish!|
stone_talk_35|내 인스타그램 봤어?\n@taptapfish|Have you checked out my Instagram?\n@taptapfish|
stone_talk_36|공유할 때 #taptapfish 태그를 잊지마|Don't forget to hashtag #taptapfish\nwhen you share!|
stone_talk_37|동굴안에 공간 있어요|There's a space inside the cave:)|
stone_talk_38|새로운 물고기를 얻고 싶다면\n"물고기 관리"창을 봐|If you want a new fish,\ngo to "Manage Fish"|
stone_talk_39|산호는 레벨업할 때에\n더 커지거나 많아지기도 해|Coral grow or multiply\nwhen you go up a level|
stone_talk_40|오잉?|Huh?|
stone_talk_41|네가 있어서 고마워!|Glad to be with you!|
stone_talk_42|친구들이 항상 웃었으면...|I have no friends...\nI'M SO LONELYYYYY...|
stone_talk_43|오잉?|Huh?|
stone_talk_44|달이 진다...|It's highmoon...|
stone_talk_45|꿈에서 만나!|Relax~|
fish_talk_0|반가워!|Nice!|fish_talk_0
fish_talk_1|안녕?|Hello!|fish_talk_1
fish_talk_2|도망쳐!|Run!|fish_talk_2
fish_talk_3|깜짝이야!|That scared me!|fish_talk_3
fish_talk_4|스피드 업!|Faster!|fish_talk_4
fish_talk_5|크헤헤|Kuhehe|fish_talk_5
fish_talk_6|오잉?|Huh?|fish_talk_6
fish_talk_7|윙크 >_0|Wink >*0|fish_talk_7
fish_talk_8|꺄아 >_<|OMG >*<|fish_talk_8
fish_talk_9|하트 뿅뿅 |Heart eyes|fish_talk_9
coral_1_name|연약한 가지산호|Fragile Staghorn Coral|
coral_2_name|싱그러운 해초|Fresh Seaweed|
coral_3_name|붉은 부채산호|Red Sea Fan|
coral_4_name|신비의 불가사리|Mysterious Starfish|
coral_5_name|새하얀 말미잘|White Anemone|
coral_6_name|진주빛 말미잘|Pearly Anemone|
coral_7_name|푸른 버섯돌산호|Cactus Coral|
coral_8_name|진홍 나팔돌산호|Orange Cup Coral|
coral_9_name|푸른 양배추산호|Blue Cabbage Coral|
coral_10_name|초록 넓적산호|Green Spongodes|
coral_11_name|빛나는 바다꽃|Glowing Sea Flower|
coral_12_name|사파이어빛 부채산호|Sapphire Sea Fan|
coral_13_name|루비빛 양배추산호|Ruby Cabbage Coral|
coral_14_name|별혹산호|Star Horn Coral|
coral_15_name|푸른 원탁 산호|Blue Table Coral|
coral_16_name|하얀 흔들 말미잘|White Swing Anemone|
coral_17_name|주홍빛 사슴뿔 산호|Orange Blade Coral|
coral_18_name|분홍 나무 산호|Pink Tree Coral|
coral_19_name|초록빛 키다리 해초|Green Giant Kelp|
missionname_1|새로운 친구!|A New Friend!|
missionname_2|다른 세상 이야기|Stories From Other Worlds|
missionname_3|물고기의 마음|Fish's Heart|
missionname_4|자랑해보기|Boast|
missionname_5|산호석의 힘|Corallite's Power|
missionname_6|<color=#FFC200>성실한 하루</color>|<color=#FFC200>Diligent Day</color>|
missionname_7|<color=#00FF98>구독 추가 보상</color>|<color=#00FF98>Subscription Bonus</color>|
missionname_8|새로운 보금자리|New home|
missionname_9|신나는 여행|Exciting Tour|
missionname_10|박물관 개장!|The museum is open!|
achieve_title_1|산호석의 성장|Corallite's Growth|
achieve_title_2|풍성해지는 바다|Bountiful Sea|
achieve_title_3|친구와의 만남|Friendly Encounter|
achieve_title_4|물고기의 마음|Fish's Heart|
achieve_title_6|강력한 힘|Great Power|
achieve_title_7|다른 세상 이야기|Stories From Other Worlds|
achieve_title_8|다시 만난 세상|Back to the World Once Again|
achieve_title_9|추억 남기기|Leaving Memories|
achieve_title_10|행복을 나누며|Sharing Happiness|
achieve_title_11|새로운 만남|A New Encounter|
achieve_title_12|마주하는 시간|We Finally Meet!|
achieve_window_tab_0_title|일일 미션|DAILY MISSION|
achieve_window_tab_1_title|목표 달성|Achieved|
achieve_window_tab_2_title|콜렉션|Collection|
ev_1|퍼큘라 크라운 진화|Percula Clownfish Evolution|
ev_2|파이어 고비 진화|Fire Goby Evolution|
ev_3|블루탱 진화|Blue Tang Evolution|
ev_4|블랙 & 골드 담셀 진화|Black & Gold Damsel Evolution|
ev_5|임페리얼 앤젤 진화|Emperor Angel Evolution|
ev_6|블랙팁 샤크 진화|Blacktip Shark Evolution|
ev_7|버지스 나비 진화|Burgess Butterfly Evolution|
ev_8|블루 패럿피쉬 진화|Blue Parrotfish Evolution|
ev_9|이스턴 스무스 박스피쉬 복어 진화|Eastern Smooth Boxfish Evolution|
ev_10|오렌지 해마 진화|Orange Seahorse Evolution|
ev_11|문어 진화|Octopus Evolution|
ev_12|붉은 바다거북 진화|Loggerhead Turtle Evolution|
ev_13|병코 돌고해 진화|Bottlenose Dolphin Evolution|
ev_14|수구리 진화|Shovelnose Guitarfish Evolution|
ev_15|백상어 진화|Great White Shark Evolution|
ev_16|북극고래 진화|Bowhead Whale Evolution|
fish_manage_fish_tab_title|물고기 관리|Manage Fish|
fish_manage_collect_count|{0}/{1} 종 수집|Collected {0}/{1} species|
fish_manage_tank_tab|나의 바다|My Sea|
fish_manage_filter_all_btn|전체|All|
fish_manage_filter_collect_btn|보유|Owned|
fish_manage_filter_not_collect_btn|미보유|Not Available|
reward_popup_common_btn|받기|Get|
free_vitality|무료 생명력 받기|Get free Vitality|
get_free_vitality|무료 생명력 <color=#FFB32C> {0} </color>받기|Get {0} free Vitality|
common_level_desc|<color=#FFB32C>레벨 {0}</color>|<color=#FFB32C>Lv. {0}</color>|
common_stone_name|외로운 산호석|Lonely Corallite|
common_stone_effect|탭당 생명력 생산량 <color=#FFB32C>+{0}</color> |Vitality production per tap <color=#FFB32C>+{0}</color>|
btn_levelup|레벨업|Level Up|
skill_1_title|화산 폭발|Volcanic Eruption|
skill_2_title|맛있는 먹이|Delicious Food|
skill_3_title|달의 노래|Song of the Moon|
skill_4_title|스킬 재충전|Recharge Skill|
skill_5_title|마이다스 탭|Midas Tap|
coral_unlock_stone_level_desc|산호석 Lv.{0}|Corallite Lv. {0}|
status_locked|<color=#FFB32CFF>잠김</color>|<color=#FFB32CFF>Locked</color>|
btn_buy_dia_desc|{0} 보석|{0} Gems|
text_level|<color=#FFB32C>레벨 {0}</color>|<color=#FFB32C>Lv. {0}</color>|
skill_desc_01|{0} 분간 매초<color=#FFB32C> {1} </color>회 자동 탭|Auto-tap {1} times per sec for {0} min|
skill_desc_02|탭당 생명력 생산량의<color=#FFB32C> {0} </color>배를 즉시 획득|Instantly get <color=#FFB32C> {0} </color>x Vitality production per tap|
skill_desc_03|{0} 분간 모든 생명력 생산량<color=#FFB32C> {1} % </color>증가|Increase all Vitality production by <color=#FFB32C> {1}% </color> for {0} min|
skill_desc_04|모든 스킬 쿨타임 재 충전|Recharge all Skill Cooldowns|
time_format_miniute|{0}분|{0} min|
time_format_count|{0}회|{0}|
time_format_percent|{0}%|{0}%|
gem_not_sufficient_title|보석이 부족합니다|Insufficient Gems|
gem_not_sufficient_desc|보석이 부족합니다.\n상점 페이지로 이동 하시겠습니까?|Insufficient Gems.\nDo you want to visit the Shop?|
pearl_not_sufficient_title|진주가 부족합니다|Pearls are not enough|
pearl_not_sufficient_desc|진주가 부족합니다.\n상점 페이지로 이동 하시겠습니까?|Insufficient Pearls\nDo you want to visit the Shop?|
gem_use_check_desc|보석을 사용하시겠습니까?|Do you want to use Gem?|
banner_today_dont_see_desc|오늘 하루 보지 않기|I don't see it anymore today.|
popup_skill_title|스킬 획득|Skill Acquired|
artifact_1_title|노틸러스호의 잔해|Remains of a Nautilus|
artifact_2_title|신비한 조개|Mystic Shell|
artifact_3_title|빛나는 소라|Glowing Conch|
artifact_desc_1|매분 자동 탭<color=#FFB32C> {0} </color>회 영구 증가|Permanently increase Auto-tap by<color=#FFB32C> {0} </color>per min|
artifact_desc_2|탭당 생명력<color=#FFB32C> {0}% </color>영구 증가|Permanently increase Vitality per tap by <color=#FFB32C> {0}% </color>|
artifact_desc_3|스킬 쿨타임<color=#FFB32C> {0}% </color>영구 감소|Permanently decrease Skill Cooldown by <color=#FFB32C> {0}% </color>|
artifact_title|아티팩트|Artifact|
coral_effect_desc_1|초당 생명력 생산량 <color=#FFB32C>+ {0}</color>|Vitality production per sec <color=#FFB32C>+ {0}</color>|
max_fish_count_desc|최대 물고기 <color=#FFED00>+ {0}</color>|Max Fish <color=#FFED00>+ {0}</color>|
coral_effect_desc_2|<color=#FFB32C>+ {0} 생명력</color>|<color=#FFB32C>+ {0} Vitality</color>|<color=#FFB32C>+{0}</color> 
btn_buy|구매|Buy|
common_create_life|생명 창조|CREATE LIFE|
heart_not_sufficient_title|생명력이 부족합니다.|Not enough Vitality.|
btn_redirect|바로가기|Go|
popup_fish_created_title|새로운 물고기를 창조했습니다!|YOU'VE CREATED A NEW FISH!|
common_effect_desc|효과|EFFECT|
fish_heart_tap_buff_desc|탭당 생명력 생산량 <color=#FFB32C> 200%</color> 증가|Vitality production per tap <color=#FFED00>+200%</color>|
fish_heart_sec_buff_desc|초당 생명력 생산량 <color=#FFB32C> 200%</color> 증가|Vitality production per sec <color=#FFED00>+200%</color>|
msg_new_fish|새로운 친구|New Friend|
toast_have_max_fish_desc|최대 보유한 물고기입니다.|You already have max number of this fish.|
create_duplication_fish_title|물고기를 창조했습니다!|Created Fish!|
fish_storage_desc|공간이 부족해 배치된 물고기가 가방에 보관됩니다.|Due to lack of space, placed fish are stored in bags.|
fish_info_view_total_title|총 보유|Owned (Total)|
fish_info_view_total_count|{0} 마리|{0} fish|
fish_info_view_schooling_title|활동중|Active|
fish_info_view_storage_title|보관중|Stored|
toast_fish_not_set|더 이상 배치할 물고기가 없습니다!|No more fish to place!|
toast_fish_not_storage|더 이상 보관할 물고기가 없습니다!  |No more fish to store!|
fish_manage_random_set_btn|랜덤 배치|Random|
random_set_popup_title|랜덤 물고기 배치하기|Place a random fish|
random_set_popup_desc|수조의 남은 공간에 무작위로 물고기들을 배치하시겠습니까? |Do you want to place random fish in the remaining space?|
common_btn_cancel|취소|Cancel|
common_btn_ok|확인|OK|
random_set_complete_title|물고기 배치 완료|Fish Placed|
random_set_complete_desc|물고기 배치를 완료하였습니다|Fish placement complete.|
common_fish_set_fail_popup_title|물고기 배치 실패 |Failed to place fish|
fish_tank_scale_fail_popup_desc|수조에 남은 공간이 부족하여 물고기를 배치할 수 없습니다. |Not enough space in the tank to place fish.|
storage_all_popup_title|물고기 모두 들이기|Store All Fish|
fish_manage_storage_all_btn|물고기 모두 들이기|Store All Fish|
storage_all_popup_desc|모든 물고기를 보관함에 들이시겠습니까?|Will you store all the fish inside the Storage?|
storage_all_complete_popup_title|들이기 완료|Stored|
storage_all_complete_popup_desc|수조의 모든 물고기를 보관처리 완료 하였습니다.|Stored all fish inside the Aquarium.|
search_popup_title|검색하기 |Search|
search_text_fish_default_desc|물고기 이름을 입력해주세요.|Please enter a fish name.|
search_result_title|검색 결과|Search results|
search_list_no_data_desc|검색 결과가 없습니다.|No search results.|
have_fish_count_desc2|보유 마리 수 : {0}|Owned: {0}|
fish_manage_tank_count|활동중 ( {0} / {1} )|Active ( {0} / {1} )|
common_btn_close|닫기|Close|
fish_unlocked_popup_hidden_title|숨겨진 물고기 발견|Hidden fish revealed|
fish_unlocked_popup_condition|등장 조건|Appearing condition|
fish_manage_my_tank_desc|다양한 물고기로 나의 바다를 채워보세요.|Fill your sea with various fish.|
fish_manage_have_empty_desc|해당되는 물고기가 없어요|There is no fish meeting the conditions.|
daily_mission_remain|{0}시간 {1}분 {2}초 남음|{0}h {1}m {2}s remaining|
daily_mission_main_desc|매일 모든 미션을 완료하고 보상을 받으세요!|Complete all missions every day and collect rewards!|
goal_mission_main_desc|작은 목표들이 쌓여 더 큰 보상이 됩니다.|Small goals add up to bigger rewards.|
collection_mission_main_desc|물고기를 수집해 컬렉션을 완성하고 보너스를 획득하세요!|Collect fish to complete collections and get bonuses!|
toast_first_clear_mission|미션을 완료하고 보상을 받으세요!|Complete missions and collect rewards!|
title_bonus_get_reward_popup|보너스 획득 기회! |Bonus Chance!|
btn_get_more_one|한번 더 받기|Get one more time|
btn_finish|완료|COMPLETE|
common_btn_reward|보상|REWARD|
common_btn_reward_ get|보상 받기|Get Reward|
collect_fish_desc|물고기 수집|Collect Fish|
shop_free_dia_name|무료 보석 받기|Get free gems|
shop_free_pearl_name|무료 진주 받기|Get free Pearls|
shop_free_midas_name|마이다스 터치 버프|Midas Touch Buff|
shop_free_dia_dec|짧은 동영상을 보고 무료 보석<color=#FFB32C> {0} </color>을 받으세요|Watch a short video to get <color=#FFB32C> {0} </color> Free Gems|
shop_free_pearl_dec|짧은 동영상을 보고 무료 진주<color=#FFB32C> {0} </color>을 받으세요|Watch a short video to get <color=#FFB32C> {0} </color> Free Pearls|
shop_free_midas_dec|화면을 길게 터치하면 자동으로 1초에<color=#FFB32C> 10번 </color>탭을 합니다.|Long press the screen to auto-tap <color=#FFB32C> 10 times </color>times per second.|
heart_desc|(수정필요) 생명력 입니다|Vitality|
gem_desc|(수정필요) 보석 입니다|Gems|
heart_product_desc|(수정필요) 생명력 버프 입니다|Vitality Buff|
heart_product_desc2|(수정필요) 생명력 버프 2 입니다|Vitality Buff 2|
pearl_desc|(수정필요) 진주 입니다|Pearls|
tearstone_name|진화석|Evolution Stone|
heart_name|생명력|Vitality|
gem_name|보석|Gems|
heart_product_name|생명력 버프 1|Vitality Buff 1|
heart_product_name2|생명력 버프 2|Vitality Buff 2|
pearl_name|진주|Pearls|
nav_bar_shop|상점|Shop|
nav_bar_stone|산호석|Corallite|
nav_bar_coral|산호|Coral|
nav_bar_evol|진화|Evolution|
nav_bar_fish|물고기|Fish|
nav_bar_mission|미션|Mission|
nav_bar_setting|마이북|My Book|
common_btn_ad_watch|무료 보상|Free Reward|
mystery_box_open_title|신비의 상자|MYSTERY CHEST|
mystery_box_open_desc|무언가 좋은것이 들어있을 것 같은 느낌이다.|I feel like something good is inside.|
btn_open|상자 열기|Open Chest|
offline_reward_main_desc|자리를 비운 사이에 <color=#FFB32C>{0}</color> 생명력을 모았습니다|Collected <color=#FFB32C>{0}</color> Vitality while you were away|
reward_get_x2_btn|<color=#FFB32C>{0}</color>\n2배 보상 받기|Get <color=#FFB32C>{0}</color> Extra Reward|
offline_reward_title|오프라인 보너스 생산 정보|Offline Bonus Production Info|
offline_reward_time|{0}/{1} 분|{0}/{1} min|
evolution_common_btn|진화하기|Evolve|
evolution_bonus_name|진화 생명력 생산량 보너스|Evolution Vitality Production Bonus|
common_info_popup_title|안내|Info|
evolution_bonus_desc|진화 시 탭 / 초 당 생명력 생산량이 증가합니다.|Evolution increases Vitality production per tap/sec.|
evolution_desc|{0} 종을 진화 시켜 새로운 종을 찾으세요!|Evolve {0} species to find new ones!|
evolution_complete|확정 진화|Guaranteed Evolution|
evolution_complete_desc|진화석 사용시 확정으로 진화 합니다.|Evolve successfully by using Evolution Stones.|
evolution_done|크라운 피쉬가 진화했다!!|Clownfish Evolved!!|
evolution_bonus_effect_new|신규 진화 생산량 보너스 <color=#FFB32C> {0}% </color>증가|New Evolution Production Bonus <color=#FFB32C>+{0}%</color>|
evolution_bonus_effect_dup|진화 생산량 보너스 <color=#FFB32C> {0}% </color>증가|Evolution Production Bonus <color=#FFB32C>+{0}%</color>|
tearStone_not_sufficient_title|진화석이 부족합니다.|Not enough Evolution Stones.|
evstone|진화석|Evolution Stone|
evolution_unlock_desc |{0} 로 획득|Obtain with {0}|
attendance_last_reward_get_desc|<color=#FF0085>[{0}]</color> 획득 가능 : {0} |<color=#FF0085>[{0}]</color> Obtainable : {0}|
attendance_tab_name_1|일일 출석|Daily Attendance|
attendance_common_now_day_desc1| 일차|Day|
attendacne_refresh_time_desc|출석 보상은 매일 04:00 시에 다시 수령 할 수 있습니다.|Attendance rewards reset daily at 04:00.|
tuto_text_99_9901|잠들어 있는 산호석을 터치해보세요! ( {0} / {1} )|Tap the sleeping Corallite! ( {0} / {1} )|
tuto_text_99_9902|하단의 메뉴 버튼을 눌러보세요|Tap the Menu button at the bottom.|
tuto_text_99_9903|산호석을 성장 시켜 보세요|Try upgrading the Corallite.|
tuto_text_99_9905|산호로 주변을 꾸며 볼까요|Shall we decorate with Coral?|
tuto_text_99_9906|산호를 구매해 주세요!|Please purchase a Coral!|
tuto_text_99_9908|이제 물고기 친구를 불러볼까요?|Shall we call a fish friend?|
tuto_text_99_9909|물고기를 창조해주세요!|Please create a fish!|
tuto_text_99_9910|새로운 물고기를 창조했어요!|You created a new fish!|
tuto_text_99_9911|물고기를 창조하면 생명력 생산량이 증가합니다|Creating fish increases Vitality production.|
tuto_end_toast_desc|나만의 바다를 창조해주세요!|Create your own sea!|
tuto_stone_levelup_title|산호석 레벨업!|Corallite Level Up!|
tuto_stone_effect_title|산호석 레벨업 효과|Corallite Level Up Effect|
tuto_stone_effect_desc|터치당 생명력 획득량이 상승합니다.|Vitality per tap increases.|
tuto_coral_levelup_title|산호 레벨업!|Coral Level Up!|
tuto_coral_effect_title|산호 레벨업 효과|Coral Level Up Effect|
tuto_coral_effect_desc|초 당 생명력 생산량이 상승합니다.\n 물고기 배치 수가 증가합니다.|Vitality per sec increases.\nFish capacity increases.|
stone_Top_Title|초 당 생명력 생산량이 상승합니다.\n 물고기 배치 수가 증가합니다.|Manage Corallite|
coral_Top_Title|산호 관리|Manage Coral|
fish_Top_Title|물고기 관리|Manage Fish|
shop_Top_Title|상점|Shop|
evol_Top_Title|진화|Evolution|
stone_levelup_desc_1|산호석 LV. 100|Corallite Lv. 100|
stone_levelup_desc_2|산호석 LV. 300|Corallite Lv. 300|
stone_levelup_desc_3|산호석 LV. 500|Corallite Lv. 500|
stone_levelup_desc_4|산호석 LV. 400|Corallite Lv. 400|
MaidasSkillDesc|화면을 길게 터치하면 자동으로 1초에 10번 탭을 합니다.|Long press the screen to auto-tap 10 times per second.|
common_title_notice|안내|Info|
notenough_fish|{0} 물고기가 부족합니다.|Not enough {0} fish.|
touch_close|터치하여 닫기|Tap to close|
fishkind_0|크라운|Clownfish|
fishkind_1|고비|Goby|
fishkind_2|탱|Tang|
fishkind_3|담셀|Damsel|
fishkind_4|앤젤|Angel|
fishkind_5|놀래기|Wrasse|
fishkind_6|도티백|Dottyback|
fishkind_7|나비|Butterfly|
fishkind_8|패럿피쉬|Parrotfish|
fishkind_9|복어|Boxfish|
fishkind_10|해마|Seahorse|
fishkind_11|해파리|Jellyfish|
fishkind_12|바다거북|Sea Turtle|
fishkind_13|돌고래|Dolphin|
fishkind_14|가오리|Sting Ray|
fishkind_15|상어|Shark|
fishkind_16|개복치|Sun fish|
fishkind_17|고래|Whale|
fishkind_18|연체동물|Mollusca|
fishkind_19|해룡|Seadragon|
fishkind_20|곰치|Moray Eel|
fishkind_21|수구리|Shovelnose Guitarfish|
fishkind_22|불가사리|Starfish|
fishkind_23|새치|Marlin|
fishkind_24|챠로미스|Chromis|
fishkind_25|안티아스|Anthias|
fishkind_26|참치|Tuna|
fishkind_27|바슬렛|Basslet|
more_achieve_item_0_title|신비의 돌!|Mystic Stone!|神秘的な石!
more_achieve_item_0_desc|외로운 산호석 레벨 {0} 달성하기|Reach Lonely Corallite Lv. {0}|サンゴ石のレベルを{0}にする
more_achieve_item_1_title|샘솟는 생명력!|Springing Vitality!|あふれる生命力!
more_achieve_item_1_desc|생명력 {0} 보유하기|Own {0} Vitality|{0}の生命力を保有する
more_achieve_item_2_title|생명의 산호!|Coral of Life!|命のサンゴ!
more_achieve_item_2_desc|산호 레벨 합계 {0} 달성하기|Reach Lv. {0} Corallite in Total|サンゴの合計レベルを{0}にする
more_achieve_item_3_title|하드 워커!|Hard Worker!|ハードワーカー!
more_achieve_item_3_desc|탭 {0}번 하기|Tap {0} times|{0}回タップする
more_achieve_item_4_title|레디! 액션!|Ready! Action!|レディ!アクション!
more_achieve_item_4_desc|스킬 {0}번 사용하기|Use Skill {0} times|スキルを{0}回使用する
more_achieve_item_5_title|광고 타임!|Ad Time!|CMタイム!
more_achieve_item_5_desc|광고 {0}번 보기|Watch Ad {0} times|広告を{0}回視聴する
more_achieve_item_6_title|출석 도장!|Attendance Stamp!|毎日ログイン!
more_achieve_item_6_desc|출석 {0}일 하기|Attend {0} days|{0}日ログインする
more_achieve_item_7_title|내 물고기가 진화했다!|My Fish Evolved!|
more_achieve_item_7_desc|진화 물고기 {0} 마리 수집하기|Collect {0} Evolution Fish|
more_achieve_item_8_title|소중한 순간!|Precious Moment!|大切な瞬間!
more_achieve_item_8_desc|사진 {0}번 공유하기|Share photo {0} times|写真を{0}回シェアする
more_achieve_item_9_title|콜렉터!|Collector!|コレクター!
more_achieve_item_9_desc|일반 물고기 {0}종 수집하기|Collect {0} species of Normal Fish|
more_achieve_item_10_title|친구들과 놀아요!|Play with Friends!|友達と遊ぼう!
more_achieve_item_10_desc|물고기 생명력 탭 {0}번 하기|Tap Fish Vitality {0} times|魚の生命力を{0}回タップする
daily_mission_0_title|손가락 풀기|Warming Up Fingers|指の練習
daily_mission_0_desc|탭 {0}번 하기|Tap {0} times|{0}回タップする
daily_mission_1_title|꾸준한 사진작가|Steady Photographer|勤勉なカメラマン
daily_mission_1_desc|사진 {0}회 공유|Share photo {0} times|写真{0}回シェアする
daily_mission_2_title|테크니컬 플레이어|Technical Player|テクニカルプレイヤー
daily_mission_2_desc|스킬 {0}번 사용|Use Skill {0} times|スキル{0}回使用
daily_mission_3_title|광고 매니아|Ad Mania|広告マニア
daily_mission_3_desc|광고 {0}회 시청|Watch Ad {0} times|広告{0}回視聴
daily_mission_4_title|타임 머신|Time Machine|タイムマシン
daily_mission_4_desc|게임 플레이 {0}분 달성|Play game for {0} min|ゲームプレイ{0}分完了
daily_name_tapfishcount|친구들과 인사하기|Greet Friends|友達と挨拶
collection_0_pacific|작은 친구들|Little Friends|小さなお友達
collection_0_atlantic|알록달록 바다|Colorful Ocean|色とりどりの海
collection_0_indian|바다의 천사들|Ocean's Angels|海の天使たち
collection_0_antarctic|골목대장|Leader of the Gang|ガキ大将
collection_0_arctic|통통한 친구들|Chubby Friends|丸々した友達
collection_1_pacific|천사들의 군무|Dance of Angels|天使たちの群舞
collection_1_atlantic|회전목마|Merry-go-round|回転木馬
collection_1_indian|반짝반짝 해파리|Shiny Jellyfish|キラキラクラゲ
collection_1_antarctic|딱딱한 등껍질|Hard Shell|硬い甲羅
collection_1_arctic|고대어 등장!|Ancient Fish Has Appeared!|古代魚登場！
collection_2_pacific|태평양의 청새치들|Marlins of the Pacific|太平洋のマカジキ
collection_2_atlantic|만타가오리의 그림자|Shadow of Manta Ray|オ二イトマキエイの影
collection_2_indian|안녕 돌고래?|Hi Dolphin!|こんにちは、イルカ？
collection_2_antarctic|무서운 상어소굴|Scary Shark's Den|怖いサメの巣窟
